"Stratum","NAFO","Area","y.1970","y.1971","y.1972","y.1973","y.1974","y.1975","y.1976","y.1977","y.1978","y.1979","y.1980","y.1981","y.1982","y.1983","y.1984","y.1985","y.1986","y.1987","y.1988","y.1989","y.1990","y.1991","y.1992","y.1993","y.1994","y.1995","y.1996","y.1997","y.1998","y.1999","y.2000","y.2001","y.2002","y.2003","y.2004","y.2005","y.2006","y.2007","y.2008","y.2009","y.2010","y.2011","y.2012","y.2013","y.2014","y.2015","y.2016","y.2017","y.2018","y.2019","y.2020","totals"
"440","4VN",3173.016,4,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,6,4,4,4,4,3,4,4,4,4,4,4,6,4,4,4,4,4,4,4,3,4,4,5,4,4,4,4,4,4,0,5,4,190
"441","4VN",3434,4,2,2,3,3,3,1,3,3,3,3,3,3,3,3,5,5,4,4,4,6,5,5,5,5,5,5,5,5,6,7,6,6,7,6,7,6,6,5,6,6,7,6,6,6,6,6,6,0,7,4,238
"442","4VN",4934.658,3,2,2,2,3,3,2,3,3,3,3,3,3,3,3,3,5,6,7,5,5,5,6,5,6,6,6,6,6,7,6,6,5,6,6,7,5,5,5,6,5,6,6,6,6,6,6,6,0,6,5,240
"443","4VSW",4526.012,4,2,4,4,8,3,1,2,4,4,4,3,5,4,4,4,6,6,5,2,4,2,4,3,3,4,4,5,5,4,5,4,5,5,5,4,4,4,5,4,4,6,5,5,3,7,4,5,0,9,4,214
"444","4VSW",13478.45,3,2,5,4,6,4,6,7,4,4,4,5,5,6,4,4,6,6,3,6,7,8,8,9,6,8,8,7,8,8,9,10,9,9,9,8,10,8,6,9,11,13,9,8,9,9,11,10,0,6,8,352
"445","4VSW",3512.982,5,2,5,4,5,5,1,3,4,4,4,5,5,3,4,5,6,4,4,4,4,4,4,5,7,4,4,4,3,3,6,5,5,5,5,6,5,4,3,6,4,7,2,4,3,4,4,4,0,6,3,215
"446","4VSW",1686.094,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,4,3,3,3,2,3,2,0,3,2,145
"447","4VSW",5549.344,4,2,6,5,7,4,4,3,4,4,5,4,4,4,4,4,5,7,6,6,8,7,7,7,7,7,6,7,7,6,7,7,7,7,7,7,6,6,4,6,6,8,6,7,7,7,7,7,0,6,5,291
"448","4VSW",4975.866,5,2,5,4,5,4,4,4,4,4,4,6,4,4,4,4,5,5,5,5,9,6,6,7,7,7,6,7,6,7,8,8,8,8,7,8,8,6,5,7,7,10,8,8,8,7,6,6,0,7,4,299
"449","4VSW",494.496,2,2,2,2,3,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,0,2,2,100
"450","4VSW",1315.222,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,0,3,2,144
"451","4VSW",504.798,1,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,0,2,2,104
"452","4VSW",1184.73,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,3,3,0,3,3,110
"453","4VSW",889.406,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,2,1,3,2,3,2,2,1,0,2,2,116
"454","4VSW",1713.566,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,4,2,2,2,2,2,2,0,3,2,121
"455","4VSW",7286.948,7,6,7,6,7,6,6,7,7,7,7,7,7,7,7,7,8,8,7,7,12,10,10,9,10,10,10,13,8,11,11,11,11,11,8,12,11,7,5,8,10,10,10,11,11,9,9,8,0,9,6,429
"456","4VSW",3279.47,5,4,6,5,5,6,4,6,6,6,6,7,6,6,6,6,6,7,6,6,10,7,7,8,8,8,8,8,6,8,10,8,8,8,8,8,8,6,2,7,7,9,8,8,6,5,6,6,0,6,4,331
"457","4VSW",2784.974,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,4,2,2,4,2,2,2,2,2,2,2,2,1,4,2,2,2,2,2,2,2,2,2,2,4,2,2,2,3,3,3,0,3,2,113
"458","4VSW",2259.572,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,3,3,9,8,8,8,8,8,7,8,5,6,10,8,7,8,8,10,8,5,2,7,6,9,8,6,4,5,5,5,0,6,3,269
"459","4VSW",10810.232,3,2,4,4,4,4,4,4,4,4,4,4,3,4,4,6,6,5,6,5,5,5,6,4,6,6,4,5,6,6,8,6,6,6,6,6,6,5,3,6,6,7,6,6,6,7,7,6,0,9,7,262
"460","4VSW",4615.296,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,2,3,3,3,4,4,3,3,5,5,5,3,6,5,151
"461","4VSW",3962.836,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,3,3,2,2,3,3,3,2,3,3,113
"462","4VSW",7266.344,3,3,4,3,4,4,4,4,4,4,6,4,4,4,4,4,6,5,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,3,4,4,4,6,4,4,5,5,5,5,0,5,5,212
"463","4VSW",1037.068,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,4,2,2,2,2,2,3,2,2,2,3,2,2,0,2,2,107
"464","4VSW",4453.898,4,3,5,3,3,6,5,5,5,5,5,5,4,5,5,5,7,6,5,5,9,7,7,7,7,7,7,4,7,7,7,7,7,7,5,8,7,6,4,5,6,7,7,7,7,6,6,4,0,6,4,288
"465","4VSW",8183.222,6,5,5,4,5,4,5,5,5,5,5,7,6,5,5,5,5,8,8,8,12,9,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,7,8,7,8,10,10,10,10,10,9,7,3,10,7,397
"466","4VSW",776.084,2,2,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,2,2,2,3,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,1,3,2,2,2,2,2,2,2,2,3,0,3,2,118
"470","4X",3159.28,1,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,3,4,3,2,112
"471","4X",3447.736,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,3,4,4,3,110
"472","4X",4289.066,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,4,4,6,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,3,4,6,4,4,4,4,4,4,4,4,4,172
"473","4X",910.01,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,104
"474","4X",552.874,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,100
"475","4X",535.704,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,103
"476","4X",5075.452,2,2,2,2,2,3,2,2,2,1,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,177
"477","4X",4230.688,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,5,5,5,5,5,4,5,5,6,5,5,4,4,6,4,204
"478","4X",800.122,2,2,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,119
"480","4X",2249.27,4,4,4,3,3,3,4,4,3,4,3,3,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,7,8,8,8,7,9,8,6,8,8,8,7,8,8,6,7,7,7,5,7,5,306
"481","4X",6438.75,5,3,4,4,4,3,4,4,5,4,3,4,4,4,4,4,4,6,7,6,8,9,9,9,9,7,9,9,9,9,8,9,8,9,6,12,9,7,8,8,8,10,9,9,9,8,10,9,6,9,6,350
"482","4X",3578.228,2,1,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,3,3,3,3,3,4,3,3,3,3,4,4,3,4,3,141
"483","4X",1826.888,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,3,2,3,2,105
"484","4X",7774.576,2,2,3,3,3,3,3,3,2,3,3,3,4,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,3,3,4,3,5,5,5,4,6,5,7,7,7,7,186
"485","4X",5432.588,2,2,2,3,3,3,3,3,3,3,2,3,4,3,3,3,3,6,7,6,2,3,3,3,3,3,3,3,3,3,4,3,5,5,3,2,5,4,5,5,5,6,5,5,5,6,6,6,4,6,5,196
"490","4X",2063.834,2,2,2,2,2,3,3,3,3,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,4,4,4,3,4,4,4,6,4,3,3,3,4,3,3,4,2,4,3,4,4,4,3,4,3,173
"491","4X",2359.158,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,4,3,4,4,4,4,4,4,4,4,4,4,3,4,3,168
"492","4X",3729.324,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,2,3,3,3,3,3,3,3,5,2,3,4,4,4,4,4,6,4,4,4,3,4,4,3,4,4,171
