spec,FAO_E_COMMON_NAME,FAO_F_COMMON_NAME,nrecords,type,AphiaID,url,kingdom,phylum,class,order,family,scientificname
241,Atlantic hagfish,Myxine du nord,804,I,101170,http://www.marinespecies.org/aphia.php?p=taxdetails&id=101170,Animalia,Chordata,Myxini,Myxiniformes,Myxinidae,Myxine glutinosa
240,Sea lamprey,Lamproie marine,16,LR,101174,http://www.marinespecies.org/aphia.php?p=taxdetails&id=101174,Animalia,Chordata,Petromyzonti,Petromyzontiformes,Petromyzontidae,Petromyzon marinus
10,Atlantic cod,Morue franche,5451,L,126436,http://www.marinespecies.org/aphia.php?p=taxdetails&id=126436,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus morhua
11,Haddock,Aiglefin,5827,L,126437,http://www.marinespecies.org/aphia.php?p=taxdetails&id=126437,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Melanogrammus aeglefinus
12,White hake,Merluche blanche,3524,L,126504,http://www.marinespecies.org/aphia.php?p=taxdetails&id=126504,Animalia,Chordata,Actinopterygii,Gadiformes,Phycidae,Urophycis tenuis
13,Red hake,Merluche écureuil,2195,L,126503,http://www.marinespecies.org/aphia.php?p=taxdetails&id=126503,Animalia,Chordata,Actinopterygii,Gadiformes,Phycidae,Urophycis chuss
14,Silver hake,Merlu argenté,4936,L,158962,http://www.marinespecies.org/aphia.php?p=taxdetails&id=158962,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius bilinearis
15,Cusk,Brosme,688,I,126447,http://www.marinespecies.org/aphia.php?p=taxdetails&id=126447,Animalia,Chordata,Actinopterygii,Gadiformes,Lotidae,Brosme brosme
16,Pollock,Goberge,2787,L,126441,http://www.marinespecies.org/aphia.php?p=taxdetails&id=126441,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Pollachius virens
17,Atlantic tomcod,Poulamon atlantique,44,LR,158928,http://www.marinespecies.org/aphia.php?p=taxdetails&id=158928,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Microgadus tomcod
19,Offshore silver hake,Merlu argenté du large,161,LR,158748,http://www.marinespecies.org/aphia.php?p=taxdetails&id=158748,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius albidus
23,Atlantic redfishes,Sébastes de l'Atlantique,4152,L,126175,http://www.marinespecies.org/aphia.php?p=taxdetails&id=126175,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes
30,Atlantic halibut,Flétan de l'Atlantique,1634,L,127138,http://www.marinespecies.org/aphia.php?p=taxdetails&id=127138,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossus hippoglossus
31,Greenland halibut,Flétan noir,736,I,127144,http://www.marinespecies.org/aphia.php?p=taxdetails&id=127144,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Reinhardtius hippoglossoides
40,American plaice,Plie canadienne,6023,L,127137,http://www.marinespecies.org/aphia.php?p=taxdetails&id=127137,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossoides platessoides
41,Witch flounder,Plie grise,4301,L,127136,http://www.marinespecies.org/aphia.php?p=taxdetails&id=127136,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Glyptocephalus cynoglossus
42,Yellowtail flounder,Limande à queue jaune,3233,L,158879,http://www.marinespecies.org/aphia.php?p=taxdetails&id=158879,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Limanda ferruginea
43,Winter flounder,Limande-plie rouge,1632,L,158885,http://www.marinespecies.org/aphia.php?p=taxdetails&id=158885,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pseudopleuronectes americanus
44,Gulf Stream flounder,Plie du Gulf Stream,382,I,158791,http://www.marinespecies.org/aphia.php?p=taxdetails&id=158791,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Citharichthys arctifrons
50,Atlantic wolffish,Loup atlantique,1572,L,126758,http://www.marinespecies.org/aphia.php?p=taxdetails&id=126758,Animalia,Chordata,Actinopterygii,Perciformes,Anarhichadidae,Anarhichas lupus
51,Spotted wolffish,Loup tacheté,20,LR,126759,http://www.marinespecies.org/aphia.php?p=taxdetails&id=126759,Animalia,Chordata,Actinopterygii,Perciformes,Anarhichadidae,Anarhichas minor
52,Northern wolffish,Loup à tête large,17,LR,126757,http://www.marinespecies.org/aphia.php?p=taxdetails&id=126757,Animalia,Chordata,Actinopterygii,Perciformes,Anarhichadidae,Anarhichas denticulatus
60,Atlantic herring,Hareng de l'Atlantique,3487,L,126417,http://www.marinespecies.org/aphia.php?p=taxdetails&id=126417,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea harengus
61,American shad,Alose savoureuse,468,I,158670,http://www.marinespecies.org/aphia.php?p=taxdetails&id=158670,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Alosa sapidissima
62,Alewife,Gaspareau,977,I,158669,http://www.marinespecies.org/aphia.php?p=taxdetails&id=158669,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Alosa pseudoharengus
63,Rainbow smelt,Éperlan arc-en-ciel,59,LR,126737,http://www.marinespecies.org/aphia.php?p=taxdetails&id=126737,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Osmerus mordax
64,Capelin,Capelan,540,I,126735,http://www.marinespecies.org/aphia.php?p=taxdetails&id=126735,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Mallotus villosus
70,Atlantic mackerel,Maquereau commun,696,I,127023,http://www.marinespecies.org/aphia.php?p=taxdetails&id=127023,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,Scomber scombrus
112,Longfin hake,Merluche à longues nageoires,784,I,158988,http://www.marinespecies.org/aphia.php?p=taxdetails&id=158988,Animalia,Chordata,Actinopterygii,Gadiformes,Phycidae,Phycis chesteri
114,Fourbeard rockling,Motelle à quatre barbillons,693,I,126450,http://www.marinespecies.org/aphia.php?p=taxdetails&id=126450,Animalia,Chordata,Actinopterygii,Gadiformes,Lotidae,Enchelyopus cimbrius
122,Cunner,Tanche-tautogue,82,LR,159785,http://www.marinespecies.org/aphia.php?p=taxdetails&id=159785,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Tautogolabrus adspersus
123,Blackbelly rosefish,Sébaste chèvre,610,I,127251,http://www.marinespecies.org/aphia.php?p=taxdetails&id=127251,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Helicolenus dactylopterus
142,Fourspot flounder,Cardeau à quatre ocelles,76,LR,158833,http://www.marinespecies.org/aphia.php?p=taxdetails&id=158833,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Hippoglossina oblonga
143,Windowpane flounder,Turbot de sable,115,LR,158907,http://www.marinespecies.org/aphia.php?p=taxdetails&id=158907,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Scophthalmidae,Scophthalmus aquosus
149,Longnose greeneye,Oeil-vert à long nez,45,LR,158868,http://www.marinespecies.org/aphia.php?p=taxdetails&id=158868,Animalia,Chordata,Actinopterygii,Aulopiformes,Chlorophthalmidae,Parasudis truculenta
150,Lanternfishes,Poissons-lanternes,160,LR,125498,http://www.marinespecies.org/aphia.php?p=taxdetails&id=125498,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Myctophidae
156,Shortnose greeneye,Éperlan du large,78,LR,126336,http://www.marinespecies.org/aphia.php?p=taxdetails&id=126336,Animalia,Chordata,Actinopterygii,Aulopiformes,Chlorophthalmidae,Chlorophthalmus agassizi
158,Silvery lightfish,Brossé améthyste,52,LR,127312,http://www.marinespecies.org/aphia.php?p=taxdetails&id=127312,Animalia,Chordata,Actinopterygii,Stomiiformes,Sternoptychidae,Maurolicus muelleri
159,Boa dragonfish,Dragon-boa,20,LR,127374,http://www.marinespecies.org/aphia.php?p=taxdetails&id=127374,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,Stomias boa
160,Greater argentine,Grande argentine,963,I,126715,http://www.marinespecies.org/aphia.php?p=taxdetails&id=126715,Animalia,Chordata,Actinopterygii,Argentiniformes,Argentinidae,Argentina silus
