"","STRAT","DMIN","DMAX","AREA","DEPTH","NAME"
"4","451",101,200,147,200,"4VSW"
"5","458",0,49,658,51,"4VSW"
"6","462",51,100,2116,128,"4VSW"
"7","473",0,49,265,50,"4X"
"8","492",51,100,1086,122,"4X"
"13","447",0,49,1616,50,"4VSW"
"16","440",101,200,924,200,"4VN"
"18","466",101,200,226,200,"4VSW"
"19","470",51,100,920,118,"4X"
"20","477",51,100,1232,100,"4X"
"21","481",51,100,1875,100,"4X"
"26","455",0,49,2122,50,"4VSW"
"28","459",0,200,3148,173,"4VSW"
"29","444",51,100,3925,100,"4VSW"
"30","463",0,49,302,52,"4VSW"
"31","474",0,49,161,50,"4X"
"32","485",51,100,1582,113,"4X"
"39","441",51,100,1000,100,"4VN"
"40","452",101,200,345,200,"4VSW"
"41","471",101,200,1004,133,"4X"
"42","448",0,49,1449,51,"4VSW"
"43","478",101,200,233,200,"4X"
"44","482",101,200,1042,102,"4X"
"45","493",0,49,533,51,"4X"
"53","456",0,49,955,63,"4VSW"
"54","460",51,100,1344,104,"4VSW"
"55","475",0,49,156,53,"4X"
"58","490",0,49,601,55,"4X"
"60","445",101,200,1023,205,"4VSW"
"63","442",0,49,1437,50,"4VN"
"64","453",101,200,259,200,"4VSW"
"65","464",0,50,1297,51,"4VSW"
"68","483",101,200,532,201,"4X"
"69","494",0,49,417,48,"4X"
"72","449",51,100,144,100,"4VSW"
"76","450",51,100,383,102,"4VSW"
"77","457",51,100,811,107,"4VSW"
"78","461",101,200,1154,148,"4VSW"
"79","472",51,100,1249,100,"4X"
"81","491",51,100,687,107,"4X"
"87","446",101,200,491,200,"4VSW"
"88","465",51,100,2383,100,"4VSW"
"89","476",51,100,1478,100,"4X"
"90","480",0,49,655,51,"4X"
"95","454",51,100,499,100,"4VSW"
"96","443",0,49,1318,50,"4VSW"
"97","484",101,200,2264,142,"4X"
"98","495",0,49,584,50,"4X"
